Nro,Retorno,SP500
517,0.007683654,22.21
518,-0.004965029,22.1
519,0.011248713,22.35
520,0.005354765,22.47
521,0.014140757,22.79
522,-0.002196355,22.74
523,0.011803416,23.01
524,0.012953549,23.31
525,-0.010782938,23.06
526,-0.003910498,22.97
527,0.006509027,23.12
528,0.008613318,23.32
529,0.001713796,23.36
530,-0.000428174,23.35
531,-0.003861837,23.26
532,0.000859476,23.28
533,-0.009061551,23.07
534,-0.018814819,22.64
535,0.012291639,22.92
536,-0.010526413,22.68
537,0.009216655,22.89
538,0.00956529,23.11
539,-0.001298983,23.08
540,0.008628181,23.28
541,0.003430535,23.36
542,0.007675944,23.54
543,-0.007675944,23.36
544,0.009797735,23.59
545,0,23.59
546,0.00338553,23.67
547,0.002110151,23.72
548,-0.011021731,23.46
549,0.005949869,23.6
550,-0.006376217,23.45
551,0.009337929,23.67
552,0.009670035,23.9
553,0.005424591,24.03
554,0.004567166,24.14
555,0.006194527,24.29
556,-0.000411777,24.28
557,-0.001236349,24.25
558,0.015142503,24.62
559,-0.002032934,24.57
560,0.011331566,24.85
561,-0.028573372,24.15
562,0.049282994,25.37
563,-0.0103012,25.11
564,0.001989259,25.16
565,0.014990419,25.54
566,0.002346501,25.6
567,-0.005483758,25.46
568,0.015975403,25.87
569,0.001930875,25.92
570,-0.003091193,25.84
571,-0.004266053,25.73
572,0.000388576,25.74
573,-0.007017573,25.56
574,0.007405998,25.75
575,-0.018025566,25.29
576,0.008269391,25.5
577,0.001958864,25.55
578,-0.007858587,25.35
579,-0.001184133,25.32
580,-0.022365149,24.76
581,-0.001212366,24.73
582,0.006850722,24.9
583,-0.024391453,24.3
584,-0.030501633,23.57
585,-0.025350445,22.98
586,0.033379222,23.76
587,-0.019121041,23.31
588,0.003853569,23.4
589,0.012316996,23.69
590,0.016743798,24.09
591,0.013605652,24.42
592,0.006123718,24.57
593,-0.016413992,24.17
594,0.004540771,24.28
595,-0.022070436,23.75
596,0.004620886,23.86
597,-0.005042027,23.74
598,0.002103935,23.79
599,0.010037725,24.03
600,0.008288485,24.23
601,0.000412626,24.24
602,0.005758963,24.38
603,0.004501747,24.49
604,-0.003681739,24.4
605,-0.009057287,24.18
606,0.004538898,24.29
607,-0.015767962,23.91
608,-0.016445658,23.52
609,-0.04968342,22.38
610,0.027761201,23.01
611,-0.035836615,22.2
612,-0.003158135,22.13
613,0.005857192,22.26
614,-0.079443905,20.56
615,0.00097229,20.58
616,-0.035612072,19.86
617,0.045764443,20.79
618,-0.026317308,20.25
619,-0.007932615,20.09
620,-0.03546471,19.39
621,0.007706177,19.54
622,0.023268627,20
623,-0.009545413,19.81
624,0.0322849,20.46
625,-0.010810916,20.24
626,0.010810916,20.46
627,-0.010316967,20.25
628,-0.020958851,19.83
629,0.007035205,19.97
630,0.014417351,20.26
631,0.024861139,20.77
632,-0.010648697,20.55
633,0.038659073,21.36
634,-0.001874415,21.32
635,0.00747667,21.48
636,0.00464469,21.58
637,0.008765915,21.77
638,-0.03887167,20.94
639,0.017984394,21.32
640,0.015821642,21.66
641,-0.013011336,21.38
642,0.00559703,21.5
643,0.014774045,21.82
644,-0.007821526,21.65
645,-0.026680731,21.08
646,0.006148045,21.21
647,-0.004725907,21.11
